id,question,answer1,isCorrect1,answer2,isCorrect2,answer3,isCorrect3,answer4,isCorrect4,answer5,isCorrect5,answer6,isCorrect6,answer7,isCorrect7,answer8,isCorrect8
1,Vyberte správne pomenovania a vzorce kyselín odvodených od síry:,H2SO5 je kyselina peroxosiričitá,0,H2SO6 je kyselina peroxosítová,0,H2S2O8 je kyselina peroxodisírová,1,H2S2O7 je kyselina disírová,1,H2S2O7 je kyselina peroxodisiričitá,0,H2SO6 je kyselina diperoxosírová,1,H2S2O8 je kyselina diperoxodisírová,0,H2S2O9 je kyselina diperoxodisírová,1
2,Vyberte správne pomenovania a vzorce hydridov:,H3P je fosfán ,0,Al3H je alán,0,AsH3 je arzán,1,GeH4 je germán,1,H2Se je selán,1,PH3 je fosfán,1,SeH2 je selán,0,HS2 je sulfán,0
3,"Vyberte odpovede, kde vzorce neodpovedajú uvedeným zlučeninám:",SiN4 je nitrid kremičitý,1,GaAs je arzenid galitý,0,LiAs3 je arzenid lítny,1,Pb3N2 je azid olovnatý,1,Mg3P2 je fosfid horečnatý,0,CaC2 je karbid vápenatý,0,Si3N4 je nitrid kremičitý,0,AlSb3 je anitonid hlinitý,1
4,"Vyberte odpovede, kde vzorce neodpovedajú uvedeným zlučeninám:",CuCO3(OH)2 je hydroxid-uličitan meďnatý,0,MnCl2O je chlorid-oxid manganičitý,0,Ca5F(PO4)3 je fluorid-tris(fosforečnan) pentavapenatý,0,KCr(OH)2 je hydroxid draselno-chromitý,1,CaCl(ClO) je hydroxid-chlórnan vápenatý,0,Cs3COCl6 je chlorid tricézno-kobaltnatý,1,COS2 je oxid-sulfid uličitý,1,PCl5O je chlorid-oxid fosforečný,1
5,Vyberte správne pomenovania a vzorce kyselín:,HOCN je kyselina kyánatá,1,H6Si2O7 je kyselina heptaoxodikremičitá,1,H3BO3 je kyselina trioxoboritá,1,H2S2O5 je kyselina dihydrogéndisiričitá,1,HBRO4 je kyselina tetraoxobromičná,0,H6TeO6 je kyselina hexaoxoteluričitá,0,H4SiO4 je kyselina tetraoxokremistá,0,H4P2O7 je kyselina tetrahydrogéndifosforitá,0
6,Vyberte správne pomenovania a vzorce hydrátov solí:,Na2SO4. 10 H2O je dekahydrát síranu sodného ,1,AlK(SO4)2. 12 H2O je undekahydrát síranu draseno-hlinitého,0,Hg(BO3)2. 2 H2O je dihydrát boritanu ortuťnatého,0,CaMg(CO3)2. 11 H2O je dodekahydrát uhličitanu horečnato-vápenatého,0,(NH4)2Fe(SO4)2. 6 H2O je hexahydrát síranu amonno-železnatého,1,BaClO4. 3 H2O je trihydrát chloristanu bárnatého,0,CaSO4. 1/2 H2O je hemihydrát síranu vápenatého,1,Na2Mg(CO3)2. 10 H2O je dekahydrát uhličitanu horečnato-sodného,1
7,"Vyberte odpovede, kde vzorce neodpovedajú uvedeným zlučeninám:",NH4[CdCl3] je trichlórokademnatan amónny,0,K2[PtBr6] je hexabromoplatnatan didraselný,1,Na[Au(CN)2OH] je dikyano-hydroxozlatitan sodný,1,[Sn3(OH)6CO]Cl2 je chlorid hexahydroxo-karbonyl-ciničitý,1,Rb[Ag(CN)2] je dikyanostriebornan rubídny,0,K2[MnF6] je hexa fluoromanganičnan draselný,1,Fe[Hg(SCN)4] je tetratiokyanatooruťnatan železnatý,0,Li2[PbF6] je hexafluoroolovičitan lítny,0
8,Vyberte správne pomenovania a vzorce nasledujúcich zlúčenín:,CaSH je hydrogénsulfid vápenatý,0,KH2B4O7 je dihydrogéntetraboritan draselný,0,Sr(H2PO3)2 je dihydrogénfosforitan strontnatý,1,CsHMoO4 je hydrogénmolybdnénan cézny,1,LiHVO4 je hydrogén vanádičnan lítny,1,KFe(HCO3)2 je hydrogénuhličitan draselno-železitý,0,Ag2HIO5 je hydrogéniodistan strieborný,1,NH4H2AsO4 je dihydrogénarzenitan amónny,0
9,Tetrachloro-platnatan amónny:,má koordinačné číslo 6,0,centrálny atóm je donorom elektrónov,0,Cl a NH4+ sú ligandy,0,má vzorec (NH4)2[PtCl4],0,"obsahuje komplexný anión s nábojovým číslom -2
",1,má centrálny atóm paládium,1,má vzorec (NH4)2[PdCl4],1,má koordinačné číslo 4,1
10,Hexakyano-chromitan hexaammin-kobaltitý:,má vzorec [Cr(CN)6][Co(NH3)6],0,obsahuje komplexný anión s nábojovým číslom - 3,1,koordinačné čísla komplexného katiónu a komplexného aniónu sú rovnaké,1,"Cr je centrálnym atómom komplexného katiónu
",0,má iba elektroneutrálne ligandy,0,má vzorec [Co(NH3)6][Cr(CN)6],1,obsahuje 2 centrálne atómy s rovnakým oxidačným číslom,1,má vzorec [Cr(NH3)6][Co(CN)6],0
11,"Vyberte odpovede, kde vzorce neodpovedajú uvedeným zlučeninám:",NiCO3. 6 H2O je uhličitan hexaakvanikelnatý,1,Zn(SiO3)2 je kremičitan zirkoničitý,1,Sb2[Ni(NH3)]Cl3 je triammin-trichloronikelnatan antimonitý,1,SrWO4 je wolfráman strontnatý,0,Ba(TlO4)2 je telúran bárnatý,1,Na2S2O9 je diperoxodisíran sodný,0,Pb2P2O7 je difosforečnan diolovnatý,0,NH4[lrCl5] je pentachloroiridičitan amónny,0
12,Chróm ma oxidačné číslo +VI v zlučeninách,PbCrO4,1,K2CrO3,0,CrO3,1,Na2CrO4,1,Cr2O7,0,K2Cr2O7,1,Fe(CrO2)3,0,(NH4)2CrO3,0
13,Fosfor má oxidačné číslo +III v zlúčeninách:,PBr3,1,KH2PO2,0,(NH4)2HPO3,1,FePO4,0,CaHPO3,1,HPO3,0,P(CN)3,1,PH3,0
14,Aké oxidačné čísla môže mat' vodík v rozličných molekulách?,-III v PH3,0, +I v NaHCO3,1, +II v H2O2,0,-I v LiH,1,-I v HF,0, +I v NH3,1,0 ako plynná látka vo vzduchu,1, +III v tríciu,0
15,Aké oxidačné čísla môže mať kyslík v rozličných molekulách?,-III v Fe2O3,0, +I v VO,0, +II v OF2,1,-I v Na2O2,1, +III v H3O+,0,-II v P2O5,1, +IV v N2O4,0, +VI v síranoch,0
16,Bróm môze mat' v rozličných molekulách oxidačné čísla:, +III v KBrO3,0, +I v Br2O,1, +V v HBrO3,1,-II v CuBr2,0, -I v bromovodíku,1, +VIl v KBrO4,1,0 v kvapalnom skupenstve,1, +IV v PbBr4,0
17,Aké oxidačné čísla môze mat' chlór v rozličných molekulách?, +VII v NaCIO4 . H2O,1, +I v Cl2O,1, +II v ClBr2,0, -I v MnCl2,1, +III v NaCIO,0, +IV v ClO2,1,-II v PbCIO2,0,-Ill v AlCI3,0
18,"Vyberte zlúčeniny, v ktorych má železo oxidačné cislo +III:",Fe(OH)O,1,K[Fe(CN)6],0,[Fe(H2O)6]Cl3,1,Fe(HCO3)2,0,FePO4,1,Fe(ClO4)2. 6 H2O,0,FeO.Fe2O3,1,Fe(NO3)2. 6 H2O,0
19,"Vyberte zlúčeniny, v ktorých sa vyskytuje prvok s oxidačným číslom +III:",Ві(ОН)2NO3,1,P4O6,1,NH3,0,Na[CoF6],0,[CrBr2(H2O)4]NO2,1,Na3[AsS4],0,H2PtCl6,0,HBO2,1
20,"Vyberte tie vorce zlúčenín, kde je P s oxidadnym číslom +V, chlornan sodny a nitrid hlinity:",H3PO4 - Na2CIO - AIN3,0,HPO3 - NaCIO - AlN,1,H2PO4 - NaCIO - AlN3,0,HPO4 - NaCIO - AlN3,0,HPO3 - Na2CIO2 - AlN,0,HPO - NaCIO2 - AIN3,0,H4P2O7 - NaCIO - AIN,1,H3PO4- NaCIO - AIN,1
21,Reakciou HPO4 s Ca(OH)2 môze vzniknúť:,Ca(HPO4)2,0,СаНРО4,1,Ca(H2PO4)2,1,Ca2HPO4,0,CaH2PO4,0,CaPO4,0,Ca2(PO4)2,1,Ca2(PO4)3,0
22,Vyberte správne pomenovania a vorce oxidov dusika:,N2O4 je dimér oxidu dusičitého,1,N2O5 je oxid dusičný,1,N2O je oxid dusný,1,NO2 je dioxid dusnatý,0,N2O3 je oxid dusnatý,0,NO2 je oxid dusičitý,1,N2O5 je dimér oxidu dusitého,0,N2O4 je dimér oxidu dusnatého,0
23,V ktorých zlúčeninách sa vyskytuje prok s oxidačným číslom +II:,(MnO4)2-,0,(ZnO2)2-,1,[Fe(CN)6]4-,1,(Cr2O7)2-,0,(CrO4)2-,0,[Cu(CN)4)2-,1,BaO2,1,(H2PO4)1-,0
24,Vyberte zlúčeniny so správnym vzorcom a názvom:,BiCl(O) je chlorid oxid bizmutitý ,1,H3PO2 je kyselina trihydrogénfosforná ,1,NH4MgHPO4 je hydrogénfosforečnan horečnato-amónny ,0,Mg(BO2)2 je boritan horečnatý ,1,NH4[PdCl4] je tetrachloro-paladičnan amónny ,0,H4SiO4 je kyselina kremistá ,0,SiC je uhoľnatan kremičitý ,0,TeF6 je fluorid telúrový ,1
25,Vyberte správne pomenovania a vzorce kyselín:,H4B2O4 kyselina tetrahydrogéndiboritá,0,H3AsO3 kyselina trioxoarzenitá ,1,H2TeO3 kyselina teluričitá ,1,HPO3 kyselina fosforitá ,0,H5IO6 kyselina pentahydrogénjodistá ,1,HClO4 kyselina chlorečná ,0,H4P2O7 kyselina tetrahydrogéndifosforečná,1,H2S2O5 kyselina disírová ,0
26,Vyberte správne pomenovania a vzorce solí:,CsCr2O7 dichróman cézny,0,K2BrO4 bróman draselný ,0,Mg3(PO4)2 fosforečnan trihorečnatý ,1,KClO2 chloritan draselný ,1,NH4S2O7 disíran amónny ,0,Na3MnO4 manganistan trisodný ,0,Cu(ClO4)2 chloristan meďnatý ,1,Ag2Se selenid strieborný ,1
27,Vyberte správne pomenovania v vzorce hydrogénsolí:,CaH2OsO4 dihydrogénosmičelan vápenatý ,0,Mg(H2PO4)2 dihydrogénfosforečnan horečnatý ,1,Ba(H2BO3)2 dihydrogénboritán bárnatý,1,NH4HPO4 hydrogénfosforečnan amóny ,0,LiHPO3 hydrogénfosforitan lítny,1,Na2HS hydrogénsulfid sodný ,0,BeH2P2O7 dihydrogéndifosforečnan berylnatý ,1,CaHCO3 hydrogénuhličitan vápenatý ,0
28,"Vyberte zlúčeniny, ktorých názov aj vzorec predstavuje podvojnú alebo zmiešanú soľ:",(NH4)2Pb(SO4)2 síran amónno-olovnatý ,1,FeCl(OH)2 hydroxid-chlorid železitý ,1,[Cu(NH3)4]SO4 . H2O monohydrát síranu tetraammín meďného ,0,KHS hydrid sulfid draselný ,0,NaTl(NO3)2 dusičnan sodno-talný ,1,KCr(SO4)2 síran draselno-chromitý ,1,K[Au(OH)4] hydroxid draselno-zlatitý ,0,BiCl(O) oxid chloridu bizmutného,0
29,"Vyberte vzorce zlučenín, ktoré nie sú oxidy:",Fe3O4,0,BaO2,1,Ag2O2,1,CuO,0,OsO4,0,Na2O,0,KClO,1,Li2O2,1
