id,question,answer1,isCorrect1,answer2,isCorrect2,answer3,isCorrect3,answer4,isCorrect4,answer5,isCorrect5,answer6,isCorrect6,answer7,isCorrect7,answer8,isCorrect8
1,Prokaryotická bunka:1,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
2,Prokaryotická bunka:2,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
3,Prokaryotická bunka:3,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
4,Prokaryotická bunka:4,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
5,Prokaryotická bunka:5,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
6,Prokaryotická bunka:6,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
7,Prokaryotická bunka:7,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
8,Prokaryotická bunka:8,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
9,Prokaryotická bunka:9,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
10,Prokaryotická bunka:10,môže obsahovať tylakoidy,1,"môže obsahovať choloplasty, napr. sinice",0,obsahuje prokaryotické ribozómy,1,má cytoplazmatickú membránu,1,má nukleoid,1,má lineárne molekuly DNA uložené v cytoplazme,0,má vnútorný priestor rozčlenený membránami na štruktúrne a funkčné celky ,0,má homologické kruhové chromozómy uložené voľne v cytoplazme,0
